"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,"""Traffic characterization in a communication channel for monitoring and control in real-time systems""",Indonesia,Indonesian Journal of Electrical Engineering and Informatics,2089-3272,2020,8,4,683 - 695,10.11591/ijeei.v8i4.1695 ,"LEONARDO SERNA GUARIN, EDILSON DELGADO TREJOS, LUIS JAVIER MORANTES GUZMAN, MIGUEL ALBERTO BECERRA BOTERO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Challenges and Possibilities of ICT-Mediated Assessment in Virtual Teaching and Learning Processes,Suiza,Future Internet,1999-5903,2020,12,12,1 - 20,10.3390/fi12120232 ,"ESPERANZA MILENA TORRES MADRONERO, MARIA CONSTANZA TORRES MADRONERO, LUZDARY RUIZ BOTERO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Numerical simulation of water hammer and cavitation phenomena including the convective term in pipeline problems,,Journal of Physics: Conference Series,1742-6596,2020,1708,págs:,1 - 7,10.1088/1742-6596/1708/1/012027 ,"DANIEL SANIN VILLA, JORGE ANDRES SIERRA DEL RIO, DARIO ANDRES SERRANO FLOREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de desempeño de capas de CNN para arquitecturas heterogéneas basadas en FPGA usando HLS,,Revista De Ingeniería Universidad Distrital Francisco José De Caldas,2344-8393,2020,26,1,1 - 15,10.14483/23448393.15634 ,"MATEO GUERRA LONDONO, LUIS FERNANDO CASTANO LONDONO, DAVID ANDRES MARQUEZ VILORIA, RICARDO ANDRES VELASQUEZ VELEZ, CRISTIAN CAMILO ALZATE ANZOLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis de Desempeño de Capas de CNN para Arquitecturas Heterogéneas Basadas en FPGA Usando HLS,Colombia,Revista De Ingeniería Universidad Distrital Francisco José De Caldas,2344-8393,2020,26,1,1 - 15,10.14483/23448393.15634 ,"MATEO GUERRA LONDONO, CRISTIAN CAMILO ALZATE ANZOLA, LUIS FERNANDO CASTANO LONDONO, DAVID ANDRES MARQUEZ VILORIA, RICARDO ANDRES VELASQUEZ VELEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Proceso y evolución de los métodos formales en la ingeniería de requisitos,Colombia,Revista Ingenierías Universidad de Medellín,2248-4094,2020,19,37,119 - 136,10.22395/rium.v19n37a6 ,JORGE HERNAN SUAZA JIMENEZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Speckle Noise Reduction in Digital Holography Using a DMD and Multi-Hologram Resampling,Suiza,Applied Sciences (Switzerland),2076-3417,2020,10,22,8277-1 - 8277-11,10.3390/app10228277 ,"NELSON ALONSO CORREA ROJAS, JORGE ALEXIS HERRERA RAMIREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Speckle Noise Reduction in Digital Holography Using a DMD and Multi-Hologram Resampling,,Applied Sciences (Switzerland),2076-3417,2020,10,22,1 - 11,10.3390/app10228277 ,"JORGE ALEXIS HERRERA RAMIREZ, NELSON ALONSO CORREA ROJAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Numerical Modeling of a Rectangular Hollow-Core Waveguide for the Detection of Fuel Adulteration in Terahertz Region,Suiza,Fibers,2079-6439,2020,8,10,1 - 17,10.3390/fib8100063 ,"ERICK ESTEFEN REYES VERA, CAMILO VILLEGAS"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Optimal Power Flow in Direct Current Networks Using the Antlion Optimizer,Colombia,"Statistics, Optimization and Information Computing",2310-5070,2020,8,4,1 - 12,10.19139/soic-2310-5070-1022 ,JHON JAIRO ROJAS MONTANO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Design and Digital Control of an Interleaved Boost Converter for Battery Charge/Discharge,Colombia,Tecnológicas,2256-5337,2020,24,50,1 - 18,10.22430/22565337.1556 ,"CRISTIAN ESCUDERO QUINTERO, SANTIAGO ALEJANDRO ACEVEDO PEREZ, JUAN PABLO VILLEGAS CEBALLOS, DANIEL GONZALEZ MONTOYA, SERGIO IGNACIO SERNA GARCES"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Visualización de conjuntos de datos de múltiples instancias,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2020,39,10,84 - 99,10.17013/risti.39.84-99 ,"CARLOS ANDRES MERA BANGUERO, LINA MARIA SEPULVEDA CANO, JORGE ELIECER VALENCIA DUQUE"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,UV-C radiation for control of gray mold disease in postharvest cut roses,Polonia,Journal of Plant Protection Research,1427-4345,2020,60,4,1 - 11,10.24425/jppr.2020.133957 ,"JORGE ALEXIS HERRERA RAMIREZ, JORGE ALBERTO GOMEZ LOPEZ, JAIRO CAMILO QUIJANO PEREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Ciberseguridad en las redes móviles de telecomunicaciones y su gestión de riesgos,Colombia,Ingeniería Y Desarrollo,2145-9371,2020,38,1,279 - 297,10.14482/inde.38.2.006.31 ,"MIGUEL ANGEL ROLDAN ALVAREZ, HECTOR FERNANDO VARGAS MONTOYA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Caracterización de un conversor de luz a frecuencia TSL235R-LF,,"para su aplicación en un sistema de comunicación por luz visible  Colombia, Revista Eia",1794-1237,2020,17,N/A,1 - 7,10.24050/reia.v17i34.1139 ,"JUAN DAVID NAVARRO RESTREPO, JUAN DAVID ROJAS USUGA, ROGER ALEXANDER MARTINEZ CIRO, ANDRES FELIPE BETANCUR PEREZ, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Relation Between Mechanical Properties and 3D Printer Configurations Parameters Using PLA at Open-Source Prusa I3,Malasia,International Journal of Integrated Engineering,2229-838X,2020,12,8,97 - 108,10.30880/ijie.2020.12.08.009 ,"JORGE ANDRES SIERRA DEL RIO, DANIEL SANIN VILLA, ANDRES FELIPE MONTOYA VELASQUEZ, WALTER VILLANEDA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Temperature sensor based on whispering gallery modes of metal-filled side-hole photonic crystal fiber resonators,Estados Unidos,IEEE Sensors Journal,1530-437X,2020,20,16,1970 - 1978,10.1109/JSEN.2020.2987175 ,"TATIANA CRISTINA MUNOZ HERNANDEZ, ERICK ESTEFEN REYES VERA, PEDRO TORRES TRUJILLO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Wireless optical system using amplitude modulation with GNU radio on a Raspberry Pi,,Journal of Physics: Conference Series,1742-6588,2020,1547,págs:,1 - 4,10.1088/1742-6596/1547/1/012003 ,"RAMON ELIAS ZAPATA QUINTERO, ROGER ALEXANDER MARTINEZ MARTINEZ CIRO, FRANCISCO EUGENIO LOPEZ GIRALDO, GERMAN DAVID GOEZ SANCHEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Generación de doble banda en antenas de Microcinta rectangulares utilizando ranuras separadas en secuencia de cantor,,Ingeniare,0718-3305,2020,28,págs:,204 - 213, ,"ANDRES FELIPE HERNANDEZ ACEVEDO, FRANCISCO EUGENIO LOPEZ GIRALDO, OSCAR DAVID OSSA MOLINA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Spatial coherence modulation using plane waves generated with a digital micromirror device,Colombia,Revista Facultad de Ingenieria,0120-6230,2020,0797,NA,1 - 16,10.17533/udea.redin.20200797 ,"NELSON ALONSO CORREA ROJAS, JORGE ALEXIS HERRERA RAMIREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Spatial coherence modulation using plane waves generated with a digital micromirror device,,Revista Facultad De Ingeniería Universidad De Antioquia,2422-2844,2020,N/A,págs:,1 - 16,10.17533/udea.redin.20200797 ,"NELSON ALONSO CORREA ROJAS, MARIA ISABEL ALVAREZ CASTANO, JORGE ALEXIS HERRERA RAMIREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,CARACTERIZACIÓN DE UN CONVERSOR DE LUZ A FRECUENCIA TSL235R-LF,,"PARA SU APLICACIÓN EN UN SISTEMA DE COMUNICACIÓN POR LUZ VISIBLE  Colombia, Revista Eia",1794-1237,2020,17,34,1 - 7,10.24050/reia.v17i34.1139 ,"ROGER ALEXANDER MARTINEZ CIRO, JUAN DAVID ROJAS USUGA, JUAN DAVID NAVARRO RESTREPO, ANDRES FELIPE BETANCUR PEREZ, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Wireless optical system using amplitude modulation with GNU radio on a Raspberry Pi,Reino Unido,Journal of Physics: Conference Series,1742-6588,2020,1547,N/A,1 - 4,10.1088/1742-6596 ,"ROGER ALEXANDER MARTINEZ CIRO, RAMON ELIAS ZAPATA QUINTERO, FRANCISCO EUGENIO LOPEZ GIRALDO, GERMAN DAVID GOEZ SANCHEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Visible light communication channel with a smartphone screen as a transmitter and color shift keying modulation for access control applications,Reino Unido,Journal of Physics: Conference Series,1742-6588,2020,1547,N/A,1 - 6,10.1088/1742-6596 ,"ROGER ALEXANDER MARTINEZ CIRO, DIANA MARIA MORALES MORALES, JUAN DAVID ROJAS USUGA, FRANCISCO EUGENIO LOPEZ GIRALDO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Dual-Band generation in rectangular patch antennas using separated slots based on cantor sequence,Chile,Ingeniare,0718-3305,2020,28,NA,204 - 213, ,OSCAR DAVID OSSA MOLINA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Estimation of Light Source Color Rendition with Low-Cost Sensors Using Multilayer Perceptron and Extreme Learning Machine,,Leukos - Journal Of Illuminating Engineering Society Of North America,1550-2716,2020,17,3,280 - 290,10.1080/15502724.2020.1755306 ,"JUAN SEBASTIAN BOTERO VALENCIA, JULIANA VALENCIA AGUIRRE, JESUS FRANCISCO VARGAS BONILLA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Optimization of phase masks using simulated annealing algorithm for mode conversion,,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 7,10.1088/1742-6596/1547/1/012007 ,"NELSON ALONSO CORREA ROJAS, MARIA ISABEL ALVAREZ CASTANO, JORGE ALEXIS HERRERA RAMIREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Evaluation of Weakly Supervised Learning Paradigms on Automatic Visual Inspection,Estados Unidos,IEEE Latin America Transactions,1548-0992,2020,18,6,1017 - 1025,10.1109/TLA.2020.9099678 ,"JOSE MIGUEL ARRIETA RAMOS, CARLOS ANDRES MERA BANGUERO, ALBEIRO ESPINOSA BEDOYA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Charging/discharging system based on zeta/sepic converter and a sliding mode controller for dc bus voltage regulation,Inglaterra,IET Power Electronics,1755-4535,2020,13,8,1514 - 1527,10.1049/iet-pel.2019.0746 ,"DANIEL GONZALEZ MONTOYA, CARLOS ANDRES RAMOS PAJA, ELKIN EDILBERTO HENAO BRAVO, ANDRES JULIAN SAAVEDRA MONTES, JUAN DAVID BASTIDAS RODRIGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Experimental characterization of a tuneable all-fiber mode converter device for mode-division multiplexing systems,,Journal of Physics: Conference Series,1742-6596,2020,N/A,págs:,- ,10.1088/1742-6596/1547/1/012004 ,"JORGE LUIS GALVIS ARROYAVE, CAMILO VILLEGAS, JORGE ANDRES MONTOYA CARDONA, SEBASTIAN MONTOYA VILLADA, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Generación de doble banda en antenas de Microcinta rectangulares utilizando ranuras separadas en secuencia de cantor,Colombia,Ingeniare,0718-3305,2020,28,2,204 - 213,10.4067/S0718 ,ANDRES FELIPE HERNANDEZ ACEVEDO
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Generación de doble banda en antenas de Microcinta rectangulares utilizando ranuras separadas en secuencia de cantor,Chile,Ingeniare,0718-3305,2020,28,2,204 - 213,10.4067/S0718-33052020000200204 ,"ANDRES FELIPE HERNANDEZ ACEVEDO, FRANCISCO EUGENIO LOPEZ GIRALDO, OSCAR DAVID OSSA MOLINA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Low-loss and flat dispersion umbrella-shaped and porous-core photonic crystal fiber for terahertz applications,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012006 ,"NELSON DARIO GOMEZ CARDONA, JHON STIVEN ESPINAL ZAPATA, JORGE ANDRES MONTOYA CARDONA, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,A Method for Assessing the Accessibility and Usability in Mobile Applications,Colombia,Tecnológicas,2256-5337,2020,23,48,99 - 117,10.22430/22565337.1553 ,"DIANA BEDOYA RUIZ, CARLOS ANDRES MERA BANGUERO, ANDRES FELIPE PANIAGUA LEMA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Predicting Cyber-Attacks in Industrial SCADA Systems Through The Kalman Filter Implementation,Colombia,Tecnológicas,2256-5337,2020,23,48,249 - 267,10.22430/22565337.1586 ,"HECTOR FERNANDO VARGAS MONTOYA, STEPHEN QUIROZ TASCON, JULIAN ZAPATA JIMENEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Proceso para la identificación,,"clasificación y control del comportamiento de familias Ransomware  Colombia, Uis Ingenierías",2145-8456,2020,19,3,131 - 142,10.18273/revuin.v19n3-2020013 ,"MILTON JAVIER MATEUS HERNANDEZ, HECTOR FERNANDO VARGAS MONTOYA, ANDRES FELIPE OSORIO SIERRA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Security Mechanisms in NoSQL DBMS's: A Technical Review,Suiza,Springer Series In Information Sciences,0720-678X,2020,1154,págs:,215 - 228,10.1007/978-3-030-46785-2_18 ,"HECTOR FERNANDO VARGAS MONTOYA, GLORIA MERCEDES DIAZ CABRERA, IRVING LYONEL SOLSOL VILCA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Acquisition and evaluation of depth data from humans,,"in robotized industrial environments  , Journal of Physics: Conference Series",1742-6596,2020,1547,N/A,1 - 7,10.1088/1742-6596/1547/1/012016 ,ALBERTO MAURICIO ARIAS CORREA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Experimental characterization of a tuneable all-fiber mode converter device for mode-division multiplexing systems,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012004 ,"JORGE LUIS GALVIS ARROYAVE, CAMILO VILLEGAS, JORGE ANDRES MONTOYA CARDONA, SEBASTIAN MONTOYA VILLADA, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Long-period fiber grating sensors fabrication at high-frequency carbon dioxide laser pulses,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012005 ,"SEBASTIAN VALENCIA GARZON, JORGE ANDRES MONTOYA CARDONA, JORGE LUIS GALVIS ARROYAVE, NELSON DARIO GOMEZ CARDONA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Low-loss and flat dispersion umbrella-shaped and porous-core photonic crystal fiber for terahertz applications,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012006 ,"NELSON DARIO GOMEZ CARDONA, JHON STIVEN ESPINAL ZAPATA, JORGE ANDRES MONTOYA CARDONA, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Robust estimation for LPV systems in the presence of non-uniform measurements,,Automatica,0005-1098,2020,115,págs:,1 - 8,10.1016/j.automatica.2020.108901 ,"JHON ALEXANDER ISAZA HURTADO, HECTOR ANTONIO BOTERO CASTRO, HERNAN DARIO ALVAREZ ZAPATA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Tuneable liquid crystal asymmetric dual-core photonic crystal fiber mode converter,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012008 ,"NELSON DARIO GOMEZ CARDONA, JORGE ANDRES MONTOYA CARDONA, ESTEBAN GONZALEZ VALENCIA, PEDRO IGNACIO TORRES TRUJILLO, ERICK ESTEFEN REYES VERA"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Modelo de capital estructural para Universidades basado en el modelo de fusión de datos JDL y la calidad de la información,Portugal,RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao,1646-9895,2020,29,N/A,465 - 478, ,"LEONARDO SERNA GUARIN, MIGUEL ALBERTO BECERRA BOTERO, DIEGO HERNAN PELUFFO ORDONEZ, CATALINA TOBON ZULUAGA, ERIKA MARIA LONDONO MONTOYA, LILLYANA MARIA GIRALDO MARIN"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Experimental characterization of a tuneable all-fiber mode converter device for mode-division multiplexing systems,,Journal of Physics: Conference Series,1742-6596,2020,1547,1,1 - 5,10.1088/1742-6596/1547/1/012004 ,SEBASTIAN MONTOYA VILLADA
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Análisis del comportamiento de arreglos fotovoltaicos con degradación operando bajo condiciones de sombreado parcial,,Revista Eia,1794-1237,2020,17,págs:,1 - 10,10.24050/reia.v17i33.1376 ,"MARIANA DURANGO FLOREZ, DANIEL GONZALEZ MONTOYA, LUZ ADRIANA TREJOS GRISALES, JUAN DAVID BASTIDAS RODRIGUEZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Design Method of Dual Active Bridge Converters for Photovoltaic Systems with High Voltage Gain,Suiza,Energies,1996-1073,2020,13,7,1 - 31,10.3390/en13071711 ,"ELKIN EDILBERTO HENAO BRAVO, CARLOS ANDRES RAMOS PAJA, ANDRES JULIAN SAAVEDRA MONTES, DANIEL GONZALEZ MONTOYA, JULIAN SIERRA PEREZ"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Detection of effects of three different plant pests for chrysanthemum flowers by using image processing and spectral imaging,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,012015,1 - 6,10.1088/1742-6596/1547/1/012015 ,JORGE ALEXIS HERRERA RAMIREZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Classification of hyperspectral images of the interior of fruits and vegetables using a 2D convolutional neuronal network,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,012014,1 - 7,10.1088/1742-6596/1547/1/012014 ,JORGE ALEXIS HERRERA RAMIREZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,High Sensitivity Refractive Index Sensor Based on the Excitation of Long-Range Surface Plasmon Polaritons in H-Shaped Optical Fiber,Suiza,Sensors,1424-8220,2020,20,7,1 - 11,10.3390/s20072111 ,"ERICK ESTEFEN REYES VERA, NELSON DARIO GOMEZ CARDONA, PEDRO TORRES TRUJILLO"
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Spherical representation of light detection and ranging data for three-dimensional object detection,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,NA,1 - 6,10.1088/1742-6596/1547/1/012009 ,JORGE ALEXIS HERRERA RAMIREZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Optimization of phase masks using simulated annealing algorithm for mode conversion,Reino Unido,Journal of Physics: Conference Series,1742-6596,2020,1547,012007,1 - 7,10.1088/1742-6596/1547/1/012007 ,JORGE ALEXIS HERRERA RAMIREZ
"AUTOMÁTICA, ELECTRÓNICA Y CIENCIAS COMPUTACIONALES",Publicado en revista especializada,Matlab/Simulink Interface Design and Implementation for PV Arrays Reconfiguration,,Lecture Notes in Electrical Engineering,1876-1100,2020,615,N/A,473 - 486,10.1007/978-3-030-37161-6_36 ,"DANIEL GONZALEZ MONTOYA, LUZ ADRIANA TREJOS GRISALES, MARIANA DURANGO FLOREZ"
