MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Application of the backward/forward sweep method for solving the power flow problem in DC networks with radial structure,Reino Unido,Journal of Physics: Conference Series,1742-6588,2020,1448,1,5 - 1,10.1088/1742-6596/1448/1/012012 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Solution of the optimal power flow problem in direct current grids applying the hurricane optimization algorithm,Reino Unido,Journal of Physics: Conference Series,1742-6588,2020,1448,1,1 - 6,10.1088/1742-6596/1448/1/012015 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optical characterization of collagen scaffolds using multispectral images and a light-scaffold interaction model,,Biomedical Signal Processing and Control,1746-8094,2020,62,N/A,1 - 5,10.1016/j.bspc.2020.102087 ,"JULY ANDREA GALEANO ZEA, ARTUR ZARZYCKI, JOHNSON GARZON REYES, MARIA ELENA MONCADA ACEVEDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Evaluation of the coefficient of friction of rail in the field and laboratory using several devices,Países Bajos,"Tribology - Materials, Surfaces and Interfaces",1751-5831,2020,14,2,119 - 129,10.1080/17515831.2020.1712111 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Weldability of Aluminum-Steel Joints Using Continuous Drive Friction Welding Process,,"Without the Presence of Intermetallic Compounds  Tailandia, Engineering Journal",0125-8281,2020,24,1,129 - 144,10.4186/ej.2020.24.1.129 ,"EDWAR ANDRES TORRES LOPEZ, JONATHAN ANDRES GRACIANO URIBE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Análisis del comportamiento de arreglos fotovoltaicos con degradación operando bajo condiciones de sombreado parcial,Colombia,Revista Eia,1794-1237,2020,17,33,1 - 10,10.24050/reia.v17i33.1376 ,LUZ ADRIANA TREJOS GRISALES
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Effects of tool shoulder geometry on mechanical properties and microstructure of friction-stir welded joints of AA5083-0 aluminium alloys,Malasia,Journal of Mechanical Engineering and Sciences,2289-4659,2020,14,4,7507 - 7519,10.15282/jmes.14.4.2020.17.0591 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical and Experimental Evaluation of Concave and Convex Designs for Gravitational Water Vortex Turbine,Malasia,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,2289-7879,2019,64,1,160 - 172, ,"ALEJANDRO RUIZ SANCHEZ, JORGE ANDRES SIERRA DEL RIO, JOSE ALEJANDRO POSADA MONTOYA, ANGIE JUDITH GUEVARA MUNOZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal Design of Transmission Shafts: a Continuous Genetic Algorithm Approach,Estados Unidos,"Statistics, Optimization and Information Computing",2310-5070,2019,7,4,802 - 815,10.19139/soic-2310-5070-641 ,"LUIS FERNANDO GRISALES NORENA, JUAN GONZALO ARDILA MARIN, OSCAR DANILO MONTOYA GIRALDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal power flow solution in direct current grids using Sine-Cosine algorithm,Reino Unido,Journal of Physics: Conference Series,1742-6588,2019,1403,1,1 - 6,10.1088/1742-6596/1403/1/012009 ,"OSCAR DANILO MONTOYA GIRALDO, LUIS FERNANDO GRISALES NORENA, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Economic Dispatch of BESS and Renewable Generators in DC Microgrids Using Voltage-Dependent Load Models,Suiza,Energies,1996-1073,2019,12,23,1 - 20,10.3390/en12234494 ,"LUIS FERNANDO GRISALES NORENA, CESAR AUGUSTO OROZCO HENAO, OSCAR DANILO MONTOYA GIRALDO, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Sine-Cosine Algorithm for OPF Analysis in Distribution Systems to Size Distributed Generators,Alemania,Communications in Computer and Information Science,1865-0929,2019,1052,N/A,28 - 39,10.1007/978-3-030-31019-6_3 ,LUIS FERNANDO GRISALES NORENA
